partido_o_alianza,candidato_a_la_presidencia,valor,mes,año,encuestadora,medio,codigo_encuesta
MAS-IPSP,Morales,27,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
CC,Mesa,13,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Revilla,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Costas,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Doria Medina,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
21F,Ortiz,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
UCS,Cárdenas,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
MTS,Patzi,3,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
MNR,Lema,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Quiroga,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
PDC,Paz Zamora,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
PAN-BOL,Nina,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
FPV,Rodríguez,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Albarracín,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Otros,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,NS/NR,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Blanco,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Ninguno,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Nulo,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,No contesta,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Indecisos,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Voto secreto,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
NA,Blanco/Nulo,NA,noviembre,2016,mercados_y_muestras,pg7,mercados_y_muestras_noviembre_2016
MAS-IPSP,Morales,31,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
CC,Mesa,16,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Revilla,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Costas,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Doria Medina,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
21F,Ortiz,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
UCS,Cárdenas,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
MTS,Patzi,4,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
MNR,Lema,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Quiroga,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
PDC,Paz Zamora,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
PAN-BOL,Nina,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
FPV,Rodríguez,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Albarracín,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Otros,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,NS/NR,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Blanco,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Ninguno,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Nulo,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,No contesta,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Indecisos,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Voto secreto,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
NA,Blanco/Nulo,NA,enero,2017,mercados_y_muestras,pg7,mercados_y_muestras_enero_2017
MAS-IPSP,Morales,26,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
CC,Mesa,20,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Revilla,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Costas,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Doria Medina,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
21F,Ortiz,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
UCS,Cárdenas,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
MTS,Patzi,3,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
MNR,Lema,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Quiroga,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
PDC,Paz Zamora,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
PAN-BOL,Nina,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
FPV,Rodríguez,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Albarracín,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Otros,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,NS/NR,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Blanco,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Ninguno,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Nulo,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,No contesta,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Indecisos,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Voto secreto,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
NA,Blanco/Nulo,NA,marzo,2017,mercados_y_muestras,pg7,mercados_y_muestras_marzo_2017
MAS-IPSP,Morales,29,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
CC,Mesa,21,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
NA,Revilla,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
NA,Costas,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
NA,Doria Medina,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
21F,Ortiz,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
UCS,Cárdenas,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
MTS,Patzi,4,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
MNR,Lema,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
NA,Quiroga,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
PDC,Paz Zamora,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
PAN-BOL,Nina,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
FPV,Rodríguez,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
NA,Albarracín,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
NA,Otros,NA,mayo,2017,mercados_y_muestras,pg7,mercados_y_muestras_mayo_2017
