partido_o_alianza,candidato_a_la_presidencia,valor,mes,año,encuestadora,medio,codigo_encuesta
MAS-IPSP,Morales,27.9,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
CC,Mesa,18.2,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Revilla,4.1,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Costas,9.2,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Doria Medina,7.5,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
21F,Ortiz,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
UCS,Cárdenas,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
MTS,Patzi,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
MNR,Lema,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Quiroga,3.4,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
PDC,Paz Zamora,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
PAN-BOL,Nina,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
FPV,Rodríguez,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Albarracín,2.6,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Otros,10.6,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,NS/NR,16.5,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Blanco,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Ninguno,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Nulo,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
,Indecisos,,marzo,2018,captura_consulting,pat,captura_consulting_marzo_2018
MAS-IPSP,Morales,27.4,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
CC,Mesa,23.4,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Revilla,2.5,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Costas,11.8,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Doria Medina,7.2,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
21F,Ortiz,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
UCS,Cárdenas,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
MTS,Patzi,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
MNR,Lema,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Quiroga,2.7,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
PDC,Paz Zamora,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
PAN-BOL,Nina,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
FPV,Rodríguez,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Albarracín,2.5,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Otros,5.2,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,NS/NR,17.4,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Blanco,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Ninguno,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Nulo,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
,Indecisos,,mayo,2018,captura_consulting,pat,captura_consulting_mayo_2018
MAS-IPSP,Morales,27,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
CC,Mesa,25,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Revilla,4,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Costas,8,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Doria Medina,7,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
21F,Ortiz,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
UCS,Cárdenas,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
MTS,Patzi,2,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
MNR,Lema,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Quiroga,3,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
PDC,Paz Zamora,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
PAN-BOL,Nina,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
FPV,Rodríguez,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Albarracín,2,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Otros,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,NS/NR,6,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Blanco,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Ninguno,16,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Nulo,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
,Indecisos,,julio,2018,mercados_y_muestras,pg7,mercados_y_muestras_julio_2018
MAS-IPSP,Morales,29.1,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
CC,Mesa,21.8,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Revilla,2.1,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Costas,8.7,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Doria Medina,6.1,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
21F,Ortiz,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
UCS,Cárdenas,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
MTS,Patzi,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
MNR,Lema,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Quiroga,1.9,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
PDC,Paz Zamora,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
PAN-BOL,Nina,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
FPV,Rodríguez,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Albarracín,1.3,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Otros,4.6,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,NS/NR,24.6,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Blanco,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Ninguno,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Nulo,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
,Indecisos,,julio,2018,captura_consulting,pat,captura_consulting_julio_2018
MAS-IPSP,Morales,29,agosto,2018,ipsos,rtp,ipsos_agosto_2018
CC,Mesa,27,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Revilla,3,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Costas,7,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Doria Medina,9,agosto,2018,ipsos,rtp,ipsos_agosto_2018
21F,Ortiz,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
UCS,Cárdenas,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
MTS,Patzi,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
MNR,Lema,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Quiroga,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
PDC,Paz Zamora,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
PAN-BOL,Nina,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
FPV,Rodríguez,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Albarracín,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Otros,8,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,NS/NR,5,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Blanco,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Ninguno,12,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Nulo,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
,Indecisos,,agosto,2018,ipsos,rtp,ipsos_agosto_2018
MAS-IPSP,Morales,28.3,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
CC,Mesa,26.2,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Revilla,2.4,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Costas,7.6,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Doria Medina,6.8,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
21F,Ortiz,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
UCS,Cárdenas,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
MTS,Patzi,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
MNR,Lema,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Quiroga,2,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
PDC,Paz Zamora,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
PAN-BOL,Nina,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
FPV,Rodríguez,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Albarracín,1.9,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Otros,5.2,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,NS/NR,19.6,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Blanco,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Ninguno,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Nulo,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
,Indecisos,,septiembre,2018,captura_consulting,pat,captura_consulting_septiembre_2018
MAS-IPSP,Morales,33,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
CC,Mesa,28,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Revilla,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Costas,10,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Doria Medina,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
21F,Ortiz,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
UCS,Cárdenas,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
MTS,Patzi,3,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
MNR,Lema,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Quiroga,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
PDC,Paz Zamora,2,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
PAN-BOL,Nina,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
FPV,Rodríguez,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Albarracín,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Otros,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,NS/NR,4,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Blanco,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Ninguno,20,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Nulo,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
,Indecisos,,septiembre,2018,mercados_y_muestras,pg7,mercados_y_muestras_septiembre_2018
MAS-IPSP,Morales,39,octubre,2018,ipsos,rtp,ipsos_octubre_2018
CC,Mesa,25,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,Revilla,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,Costas,6,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,Doria Medina,4,octubre,2018,ipsos,rtp,ipsos_octubre_2018
21F,Ortiz,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
UCS,Cárdenas,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
MTS,Patzi,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
MNR,Lema,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,Quiroga,3,octubre,2018,ipsos,rtp,ipsos_octubre_2018
PDC,Paz Zamora,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
PAN-BOL,Nina,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
FPV,Rodríguez,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,Albarracín,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,Otros,7,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,NS/NR,3,octubre,2018,ipsos,rtp,ipsos_octubre_2018
,Blanco,,octubre,2018,ipsos,rtp,ipsos_octubre_2018
